Potential (V),Time (h),Meas I (mA)
3.660119,8.309044178,10.042603
3.661531,8.392976396,10.0425265
3.662964,8.477110886,10.042333
3.664424,8.561212171,10.0423775
3.665906,8.645051747,10.042651
3.667399,8.728488675,10.0423105
3.668948,8.812843002,10.042925
3.670512,8.896957034,10.042645
3.672122,8.98160149,10.0427345
3.673741,9.064957585,10.0427625
3.675411,9.149093428,10.0423655
3.677117,9.233200872,10.0424265
3.678861,9.317128772,10.042336
3.680634,9.400531945,10.042298
3.68246,9.484665792,10.0426715
3.684342,9.568960888,10.0420375
3.686259,9.652976085,10.042441
3.68822,9.736757447,10.042572
3.690219,9.820270451,10.0422645
3.692287,9.90450566,10.042202
3.6944,9.988290984,10.0422285
3.696571,10.07236203,10.0425765
3.698803,10.15645132,10.04219
3.701079,10.24027054,10.0425585
3.703418,10.32418608,10.0424955
3.705809,10.40796033,10.042435
3.70826,10.49168909,10.042311
3.710772,10.57545344,10.0420185
3.713337,10.65892097,10.042651
3.715986,10.74292799,10.042474
3.718687,10.82692659,10.0420845
3.721453,10.91077824,10.04246
3.724317,10.99576073,10.0426945
3.727223,11.08010954,10.042324
3.73016,11.16363038,10.0427275
3.733192,11.24745787,10.042576
3.736261,11.3317495,10.042767
3.739448,11.41628171,10.0421955
3.742694,11.50090525,10.042596
3.745982,11.58539023,10.042864
3.749306,11.66980854,10.042719
3.752688,11.75427684,10.0427005
3.756124,11.83870904,10.0423255
3.759629,11.92317457,10.042483
3.763206,12.00762618,10.0423195
3.766842,12.09208894,10.0419575
3.770534,12.17660448,10.042288
3.774273,12.26102833,10.0423785
3.778066,12.34550774,10.0421925
3.781869,12.42919551,10.0423735
3.785703,12.51258329,10.0423295
3.789655,12.5974019,10.042252
3.793642,12.68186936,10.0422995
3.79767,12.76629404,10.042057
3.801752,12.85076514,10.0422355
3.805901,12.93573902,10.042296
3.810075,13.02018198,10.042057
3.814299,13.10483865,10.042426
3.818575,13.18950498,10.042244
3.822908,13.27431689,10.0424475
3.827211,13.35766319,10.04254
3.831569,13.4412397,10.0424745
3.836022,13.52571917,10.042418
3.840521,13.61016254,10.042395
3.845061,13.69461406,10.0422515
3.849648,13.77895749,10.0423195
3.854285,13.86343971,10.042287
3.858971,13.94789705,10.0421495
3.863702,14.03222947,10.0422095
3.868485,14.1166336,10.0420625
3.87333,14.20108505,10.0424035
3.878216,14.28545891,10.0420365
3.883157,14.36981086,10.0422185
3.888153,14.45421215,10.042426
3.893191,14.53856388,10.042429
3.89827,14.62296833,10.042379
3.903276,14.7056259,10.042016
3.908306,14.7883331,10.042281
3.913334,14.87108754,10.0424235
3.918348,14.95378042,10.042647
3.923438,15.03819618,10.042635
3.928479,15.1225755,10.0425385
3.933456,15.20691064,10.0423935
3.938378,15.29142649,10.042261
3.943202,15.37530017,10.0423735
3.948016,15.46028991,10.0425445
3.952718,15.54433678,10.042253
3.957407,15.62894121,10.042342
3.961994,15.71252273,10.042129
3.966578,15.79651056,10.042538
3.971182,15.88135709,10.0427285
3.975707,15.96492507,10.0425835
3.980259,16.04914114,10.0426785
3.984777,16.13271219,10.0425725
3.989304,16.2164333,10.042047
3.993837,16.30003803,10.0423205
3.998412,16.38424493,10.042174
4.00301,16.46852988,10.042309
4.007619,16.55280374,10.042122
4.012236,16.63696649,10.0425365
4.016871,16.72109036,10.0425235
4.021528,16.80530033,10.042536
4.026198,16.88960195,10.042516
4.030886,16.9737842,10.0426095
4.035589,17.05801915,10.042468
4.040306,17.14220688,10.0424495
4.045035,17.22643077,10.0425615
4.04978,17.31062684,10.0425875
4.054488,17.39400016,10.042407
4.059212,17.47735611,10.0422715
4.06395,17.56089292,10.042447
4.068706,17.64458933,10.041922
4.073535,17.72933525,10.04235
4.078346,17.81356954,10.0425675
4.083174,17.89794359,10.042652
4.087996,17.98209588,10.0422005
4.09284,18.06643267,10.0423935
4.097685,18.15070416,10.042397
4.102539,18.23495549,10.042376
4.107394,18.31916555,10.042482
4.112262,18.40341444,10.0425295
4.117131,18.48767455,10.0424115
4.12201,18.57191265,10.0422465
4.12689,18.65620518,10.0426315
4.131787,18.74062661,10.0420595
4.136684,18.82500298,10.042558
4.141583,18.90931018,10.042416
4.146475,18.99355953,10.04241
4.151381,19.07788016,10.042208
4.156266,19.16182533,10.042065
4.161123,19.24534829,10.0425325
4.166001,19.32916404,10.0424015
4.17093,19.41373145,10.041966
4.175857,19.49839731,10.041836
4.180775,19.58273166,10.0420765
4.185686,19.66701939,10.042204
4.190593,19.75120441,10.0422185
4.195506,19.83545901,10.042231
4.2,19.91235447,10.042411
4.200027,19.91282228,10.042411
4.200042826,19.91308546,10.042411
